翻译,原文,所属模组
格雷科技社区整合包，GCP,GregTech: The Community Modpack,
格雷科技社区版：非官方版，GTCEu,Gregtech: Community Edition Unofficial,
格雷科技社区版,GTCE,
QoL,Quality of Life,
格雷科技，GT,GregTech,
更好的任务非官方版/BQ,Better Questing Unofficial/ Better Questing,
油田,Oil deposit,GTCEu
虚拟矿石,VisualOres,
连锁挖矿,Ore Excavation,
储物抽屉,Drawer,
AE，应用能源/ AE2,Applied Energistics/ Applied Energistics 2,
全能工厂,"Nomifactory, Omnifactory",
林业,Forestry,
工作台,Worktable,林业
IC2/IC,IndustrialCraft 2/ IndustrialCraft,
核反应堆,Nuclear Reactor,IC2
铁路,Railcraft,
GT5, GregTech 5,
污染,Pollution,GT5
木龙头,Treetap,IC2
随机分散的小矿石,Small Ores randomly scattered,GT5
红石力量,RedPower,
蒸汽炉,Steam Oven,铁路
铜金合金,Tumbaga,GT++
GT6,Gregtech 6,
GT2,GregTech 2,
等离子电弧炉,Plasma Arc Furnace,
流体提取机,Fluid Extractor,
GT3,GregTech 3,
GT5u,GT5 Unofficial,
压缩机,Compressor,GT5
压缩空气,Compressed Air,GT5
单元合成,cell chemistry,GT5、IC2等
GCY,Gregicality/ ,
绝地学徒,Padawan,
开放式方块,OpenBlocks,
油泉,Oil spout,GTCEu
缓存器,Buffer,GT5
物品过滤器,Filter,GT5
类型过滤器,Type Filter,GT5
油泉,Oil geyser,建筑
FTB实用工具,FTB Utilities,
建筑,Buildcraft,
IC2实验性,IC2 Experimental,
沼气,Biogas,IC2实验性
发酵器（并不存在于原文）,Fermenter,GT6
蓝石,Nikolite,红石力量
通用机械,Mekanism,
巴特的作品,Bartworks,
末影储罐,Ender Tanks,
JEI扩展,JEI Integration,
TPV合金,TPV Alloy,GTNH
解包器,Unpackager,GTCE
GCYM,Gregicality Multiblocks,
格雷之影,Shadows of Greg,
Minecraft焦耳,Minecraft Joules,建筑
热力膨胀3,Thermal Expansion 3,
宇宙中子素,Cosmic Neutronium,GCY
无尽贪婪的中子素,Avaritia's Neutronium,GT5u、GCY
真·终极电池,Really Ultimate Battery,GTNH
极·终极电池,Extremely Ultimate Battery,GTNH
随机修复,Random Tweaks,
格雷科技食物优选,GregTech Food Option,
自由扳手,Freedom Wrench,GCY
末影接口,EnderIO,
GCYS,Gregicality Science,
月球,Moon,GTNH、星系
建筑小帮手,Building Gadgets,
凿子,Chisel,
无菌超净间,Sterilized Cleanroom,GTCEu
重力装甲,Gravisuite,
低重力,Low Gravity,星系
星系,Galacticraft,
空间站,Space Station,星系
细菌培养缸,Bacterial Vat,GTNH
末影龙干细胞,Draconic Stem Cell,全能工厂
大型热交换器,Large Heat Exchanger,GT5u
过热蒸汽,Superheated Steam,GT5u
热冷却液,hot IC2 coolant,IC2
量子计算机,quantum computer,GTNH、TecTech
未定元解析器,Uncertainty Resolver,GTNH、TecTech
致密合成CPU,Dense Crafting CPU,NAE2
致密并行处理单元,Dense Coprocessor,NAE2
更好的P2P,Better P2P,
